ticker,company,sector,meeting_year,form,filing_date,accession,n_words,n_sentences,theme_integrity_responsibility,theme_operational_excellence,theme_innovation_science,theme_people_talent,theme_diversity_inclusion,theme_customer_client_focus,theme_community_social_good,theme_environmental_stewardship,theme_leadership_governance,theme_human_progress_wellbeing,theme_profitable_growth,theme_heritage_longevity,theme_safety,dominant_theme_classical,dominant_theme_distinctive,tone_positive,tone_negative,tone_uncertainty,net_tone,avg_sentence_len,flesch_reading_ease,sim_to_prev,llm_themes,llm_dominant_theme,llm_stakeholder_orientation,llm_summary
AMZN,Amazon,Consumer Discretionary,2016,DEF 14A,2016-04-05,0001193125-16-530747,18124,989,3.311,1.435,1.71,3.145,1.048,3.476,0.662,2.373,26.539,0.331,7.78,0.055,0.276,leadership_governance,customer_client_focus,9.49,2.483,9.049,0.585,18.33,33.7,,leadership_governance|integrity_responsibility|profitable_growth,leadership_governance,shareholder_primacy,"Amazon's proxy emphasizes sound corporate governance, board oversight, and long-term shareholder value creation through effective leadership structures and committee oversight."
AMZN,Amazon,Consumer Discretionary,2017,DEF 14A,2017-04-12,0001193125-17-120195,26300,1197,2.205,2.966,1.749,4.259,0.875,3.764,0.646,2.205,24.639,0.19,8.441,0.0,0.152,leadership_governance,people_talent,9.354,2.776,10.038,0.542,21.97,31.4,0.9303,leadership_governance|profitable_growth|environmental_stewardship|community_social_good|integrity_responsibility|diversity_inclusion,leadership_governance,shareholder_primacy,"Amazon's Board prioritizes strong governance, shareholder value creation, and independent oversight while acknowledging but deprioritizing sustainability considerations in executive compensation."
AMZN,Amazon,Consumer Discretionary,2018,DEF 14A,2018-04-18,0001193125-18-121077,19780,993,2.275,1.769,2.022,3.691,2.427,3.488,0.202,0.455,35.389,0.0,10.212,0.0,0.0,leadership_governance,people_talent,9.757,2.831,8.847,0.55,19.92,32.7,0.9408,leadership_governance|diversity_inclusion|profitable_growth,leadership_governance,shareholder_primacy,"The company emphasizes strong corporate governance, board independence, and oversight structures designed to build long-term shareholder value while increasingly recognizing board diversity as a governance best practice."
AMZN,Amazon,Consumer Discretionary,2019,DEF 14A,2019-04-11,0001193125-19-102995,32231,1643,2.234,1.955,3.537,4.064,3.816,5.274,0.589,4.437,25.938,0.403,10.114,0.155,0.155,leadership_governance,customer_client_focus,9.525,3.072,9.68,0.512,19.62,30.2,0.8463,leadership_governance|diversity_inclusion|integrity_responsibility|profitable_growth|environmental_stewardship|safety,leadership_governance,balanced,"Amazon emphasizes strong independent board governance, diversity and inclusion as sound corporate practice, environmental sustainability, and shareholder value, while addressing employee safety and civil rights concerns raised by shareholders regarding facial recognition technology."
AMZN,Amazon,Consumer Discretionary,2020,DEF 14A,2020-04-16,0001193125-20-108422,40958,2102,2.783,1.538,3.443,5.835,4.956,5.127,3.101,4.639,23.951,0.903,8.765,0.146,0.537,leadership_governance,people_talent,9.717,2.954,8.985,0.534,19.49,28.3,0.9359,leadership_governance|diversity_inclusion|environmental_stewardship|integrity_responsibility|profitable_growth|community_social_good|safety,leadership_governance,balanced,"Amazon emphasizes strong independent Board oversight, diversity and inclusion across leadership and the workforce, environmental sustainability commitments including net-zero carbon goals, and responsible stakeholder engagement to build long-term shareholder value."
AMZN,Amazon,Consumer Discretionary,2021,DEF 14A,2021-04-15,0001104659-21-050333,49630,2457,2.539,1.39,3.99,8.301,7.314,6.448,2.861,3.909,20.895,1.632,6.669,0.101,1.572,leadership_governance,people_talent,11.062,2.156,7.757,0.674,20.2,27.3,0.9465,diversity_inclusion|environmental_stewardship|leadership_governance|people_talent|safety|profitable_growth|community_social_good,leadership_governance,balanced,"Amazon emphasizes strong corporate governance, board independence, and diversity alongside commitments to employee safety, environmental sustainability, and long-term shareholder value creation."
AMZN,Amazon,Consumer Discretionary,2022,DEF 14A,2022-04-14,0001104659-22-045572,71554,3689,2.865,1.705,3.648,9.699,6.848,4.919,2.669,4.598,16.561,2.404,6.666,0.335,3.815,leadership_governance,people_talent,11.963,2.683,7.463,0.634,19.4,28.8,0.9721,diversity_inclusion|leadership_governance|environmental_stewardship|safety|people_talent|human_progress_wellbeing|community_social_good|profitable_growth,leadership_governance,balanced,"Amazon emphasizes strong corporate governance, board diversity, workplace safety, environmental sustainability, and employee well-being while maintaining focus on long-term shareholder value creation."
AMZN,Amazon,Consumer Discretionary,2023,DEF 14A,2023-04-13,0001104659-23-044708,78817,4004,3.768,1.954,2.842,7.346,4.568,5.227,1.738,4.314,17.509,1.446,7.816,0.495,2.538,leadership_governance,people_talent,11.419,3.438,8.793,0.537,19.68,29.2,0.9662,diversity_inclusion|environmental_stewardship|leadership_governance|people_talent|community_social_good|safety|profitable_growth|integrity_responsibility,diversity_inclusion,stakeholder_oriented,"Amazon emphasizes diversity, inclusion, environmental sustainability, strong governance, employee well-being, and community responsibility as core commitments serving all stakeholders while building long-term shareholder value."
AMZN,Amazon,Consumer Discretionary,2024,DEF 14A,2024-04-11,0001104659-24-045910,71075,3449,4.544,2.153,4.516,7.147,4.502,5.951,2.73,5.543,20.204,1.576,7.696,0.352,2.912,leadership_governance,people_talent,11.002,3.63,9.075,0.504,20.61,26.1,0.9545,diversity_inclusion|leadership_governance|safety|environmental_stewardship|community_social_good|people_talent|integrity_responsibility|human_progress_wellbeing,leadership_governance,balanced,"Amazon emphasizes strong board governance, diversity and inclusion, workplace safety, environmental sustainability, and stakeholder engagement while asserting fiduciary duties to shareholders and resisting additional oversight proposals."
F,Ford Motor,Consumer Discretionary,2016,DEF 14A,2016-04-01,0001047469-16-011835,69794,3006,2.421,4.012,0.989,2.063,1.275,2.335,0.272,0.63,16.878,0.272,6.003,0.129,0.086,leadership_governance,operational_excellence,9.657,1.748,5.559,0.693,23.22,35.1,,,,,
