ticker,sector,year,over_claim_index,under_claim_index,top_over_theme,top_under_theme,web_words,web_chars,proxy_words,low_evidence,yoy_change
ABBV,Healthcare,2016,1.1037,2.0969,innovation_science,operational_excellence,66,413,32921,True,
ABBV,Healthcare,2017,1.9637,1.4666,innovation_science,operational_excellence,450,3094,33357,False,0.8600000000000001
ABBV,Healthcare,2018,0.9477,2.7878,human_progress_wellbeing,operational_excellence,42,267,36320,True,-1.016
ABBV,Healthcare,2019,0.9488,2.6732,human_progress_wellbeing,operational_excellence,61,358,35446,True,0.0010999999999999899
ABBV,Healthcare,2020,0.9494,3.0208,human_progress_wellbeing,operational_excellence,61,358,35823,True,0.0006000000000000449
ABBV,Healthcare,2021,1.6173,2.6375,innovation_science,operational_excellence,110,711,61575,True,0.6678999999999999
ABBV,Healthcare,2022,1.5421,1.7308,human_progress_wellbeing,operational_excellence,213,1424,39439,False,-0.07519999999999993
ABBV,Healthcare,2023,1.4251,1.7354,human_progress_wellbeing,operational_excellence,213,1424,43653,False,-0.11699999999999999
ABT,Healthcare,2016,1.8092,2.5527,human_progress_wellbeing,operational_excellence,271,1593,29885,False,
ABT,Healthcare,2017,2.9534,2.7923,community_social_good,people_talent,234,1318,55319,False,1.1441999999999999
ABT,Healthcare,2018,1.2145,2.0364,human_progress_wellbeing,operational_excellence,310,1799,32991,False,-1.7389
ABT,Healthcare,2019,1.3773,2.7202,human_progress_wellbeing,operational_excellence,373,2393,27945,False,0.16280000000000006
ABT,Healthcare,2020,1.8152,2.402,community_social_good,operational_excellence,363,2308,31558,False,0.43789999999999996
ABT,Healthcare,2021,1.4673,3.1363,community_social_good,operational_excellence,363,2308,39441,False,-0.3478999999999999
ABT,Healthcare,2022,1.3598,2.8637,community_social_good,operational_excellence,363,2308,37020,False,-0.10750000000000015
ABT,Healthcare,2023,1.6976,2.4513,community_social_good,operational_excellence,363,2308,38553,False,0.3378000000000001
ABT,Healthcare,2024,2.4497,3.1986,community_social_good,operational_excellence,194,1129,33408,False,0.7521
AMZN,Consumer Discretionary,2018,0.7577,1.7532,innovation_science,integrity_responsibility,507,5078,19780,False,
AMZN,Consumer Discretionary,2019,0.6792,1.8803,community_social_good,integrity_responsibility,643,5346,32231,False,-0.07850000000000001
AMZN,Consumer Discretionary,2020,0.518,2.0082,innovation_science,diversity_inclusion,365,3278,40958,False,-0.1612
AMZN,Consumer Discretionary,2023,0.7634,4.6962,community_social_good,people_talent,81,1194,78817,True,
AMZN,Consumer Discretionary,2024,0.3681,3.5677,innovation_science,people_talent,95,1320,71075,True,-0.3953
AVGO,Technology,2016,0.0,2.38,,customer_client_focus,114,905,41505,True,
BAC,Financials,2021,0.436,2.2341,integrity_responsibility,people_talent,466,2848,80656,False,
BAC,Financials,2022,0.3665,2.8607,human_progress_wellbeing,environmental_stewardship,466,2848,66760,False,-0.0695
BAC,Financials,2023,0.9588,2.4356,customer_client_focus,environmental_stewardship,466,2850,89152,False,0.5923
BAC,Financials,2024,0.5778,2.7408,human_progress_wellbeing,operational_excellence,466,2867,82398,False,-0.381
BLK,Financials,2016,0.1701,1.3709,heritage_longevity,operational_excellence,388,2743,40768,False,
BLK,Financials,2017,0.1642,2.1536,heritage_longevity,operational_excellence,381,2691,43677,False,-0.005899999999999989
BLK,Financials,2018,0.6399,2.1607,environmental_stewardship,operational_excellence,228,1442,49086,False,0.4757
BLK,Financials,2019,0.2966,2.6361,community_social_good,operational_excellence,229,1458,48677,False,-0.34330000000000005
BLK,Financials,2020,1.2509,2.8694,environmental_stewardship,operational_excellence,251,1752,50175,False,0.9542999999999999
BLK,Financials,2021,1.0631,1.9637,diversity_inclusion,operational_excellence,308,2164,58050,False,-0.18779999999999997
BLK,Financials,2022,1.5613,1.288,human_progress_wellbeing,operational_excellence,718,4462,48857,False,0.4982
BLK,Financials,2023,0.9031,1.7356,human_progress_wellbeing,operational_excellence,738,4579,54785,False,-0.6581999999999999
BLK,Financials,2024,1.0863,1.5004,human_progress_wellbeing,operational_excellence,753,4674,72505,False,0.18320000000000003
BMY,Healthcare,2016,2.6827,0.4347,environmental_stewardship,operational_excellence,323,2202,44125,False,
BMY,Healthcare,2017,3.1787,1.4265,integrity_responsibility,operational_excellence,179,1267,67219,False,0.496
BMY,Healthcare,2018,2.2652,1.713,integrity_responsibility,operational_excellence,179,1267,44472,False,-0.9135
BMY,Healthcare,2019,2.6828,1.8396,community_social_good,operational_excellence,221,1561,41364,False,0.41759999999999975
BMY,Healthcare,2020,1.0839,2.0818,innovation_science,operational_excellence,432,2913,50315,False,-1.5988999999999998
BMY,Healthcare,2021,0.853,2.6386,innovation_science,people_talent,413,2702,72194,False,-0.2309000000000001
BMY,Healthcare,2022,0.8739,2.3265,innovation_science,people_talent,413,2703,48775,False,0.02090000000000003
BMY,Healthcare,2023,1.3023,2.0805,integrity_responsibility,people_talent,530,3526,54320,False,0.4284
BMY,Healthcare,2024,1.3109,2.1212,integrity_responsibility,people_talent,532,3533,59029,False,0.008599999999999941
C,Financials,2016,0.4264,2.1173,customer_client_focus,operational_excellence,1661,11264,76816,False,
C,Financials,2017,0.2222,2.0969,innovation_science,operational_excellence,1587,10654,56747,False,-0.2042
C,Financials,2018,0.3117,2.2131,innovation_science,operational_excellence,1877,12859,75290,False,0.08949999999999997
C,Financials,2019,0.1547,2.1704,innovation_science,operational_excellence,1825,12303,69167,False,-0.15699999999999997
C,Financials,2020,0.3709,2.6256,innovation_science,operational_excellence,1629,10904,74470,False,0.2162
C,Financials,2021,0.4229,2.7149,innovation_science,operational_excellence,2006,13253,79906,False,0.05199999999999999
C,Financials,2024,0.0795,2.9414,human_progress_wellbeing,operational_excellence,161,1088,79427,False,
COP,Energy,2017,0.8955,1.8001,innovation_science,people_talent,99,693,62986,True,
COP,Energy,2018,0.8945,1.8078,innovation_science,people_talent,98,688,57257,True,-0.0010000000000000009
COP,Energy,2019,0.8627,2.2041,innovation_science,people_talent,98,688,62092,True,-0.03179999999999994
COP,Energy,2020,2.7292,0.9617,heritage_longevity,customer_client_focus,214,1402,63922,False,1.8665
COP,Energy,2021,2.6968,1.1896,heritage_longevity,environmental_stewardship,214,1402,69888,False,-0.032399999999999984
COP,Energy,2022,3.134,1.0864,heritage_longevity,customer_client_focus,229,1524,81624,False,0.4371999999999998
COP,Energy,2023,3.5705,0.7051,heritage_longevity,customer_client_focus,227,1511,102229,False,0.4365000000000001
COP,Energy,2024,3.4356,0.7102,heritage_longevity,customer_client_focus,227,1512,66116,False,-0.13490000000000002
CRM,Technology,2016,1.086,3.1372,innovation_science,operational_excellence,211,1472,34814,False,
CRM,Technology,2017,1.4005,2.2869,customer_client_focus,operational_excellence,181,1221,76640,False,0.3145
CRM,Technology,2018,1.23,2.3481,innovation_science,operational_excellence,180,1211,80957,False,-0.1705000000000001
CRM,Technology,2019,1.187,2.5195,innovation_science,operational_excellence,208,1477,81885,False,-0.04299999999999993
CRM,Technology,2020,1.1026,2.8365,innovation_science,people_talent,274,1895,81543,False,-0.08440000000000003
CRM,Technology,2021,0.9874,2.8925,innovation_science,operational_excellence,274,1897,65034,False,-0.11519999999999997
CRM,Technology,2022,2.209,2.4547,integrity_responsibility,operational_excellence,339,2506,83048,False,1.2216
CRM,Technology,2023,0.7032,2.221,customer_client_focus,operational_excellence,325,2424,72502,False,-1.5058
CRM,Technology,2024,0.5316,2.9775,customer_client_focus,operational_excellence,62,395,77028,True,-0.17160000000000009
CVX,Energy,2016,0.578,2.3968,innovation_science,people_talent,121,948,58825,False,
CVX,Energy,2017,0.4686,2.1311,innovation_science,environmental_stewardship,121,964,49411,False,-0.10939999999999994
CVX,Energy,2018,0.4098,2.1331,innovation_science,environmental_stewardship,121,948,50495,False,-0.05880000000000002
CVX,Energy,2019,0.5128,2.0508,innovation_science,environmental_stewardship,121,864,51466,False,0.10300000000000004
CVX,Energy,2020,1.4801,2.5892,human_progress_wellbeing,environmental_stewardship,170,1054,53704,False,0.9672999999999999
CVX,Energy,2021,1.5388,2.9054,human_progress_wellbeing,environmental_stewardship,170,1054,55299,False,0.058699999999999974
CVX,Energy,2022,1.2999,3.4873,integrity_responsibility,environmental_stewardship,137,876,74047,False,-0.2388999999999999
CVX,Energy,2023,1.3576,3.1648,integrity_responsibility,environmental_stewardship,123,790,65023,False,0.05769999999999986
CVX,Energy,2024,1.2884,3.597,integrity_responsibility,environmental_stewardship,126,801,61880,False,-0.06919999999999993
EOG,Energy,2016,0.4435,2.046,people_talent,operational_excellence,158,1035,30460,False,
EOG,Energy,2017,2.5066,1.7104,innovation_science,operational_excellence,172,1155,33231,False,2.0631000000000004
EOG,Energy,2018,1.7762,1.7588,heritage_longevity,operational_excellence,54,427,39049,True,-0.7304000000000002
EOG,Energy,2019,1.8793,1.7039,heritage_longevity,operational_excellence,54,427,33475,True,0.10309999999999997
EOG,Energy,2020,1.8212,1.7291,heritage_longevity,operational_excellence,54,427,33454,True,-0.05810000000000004
EOG,Energy,2021,1.7211,1.9895,heritage_longevity,operational_excellence,50,416,55158,True,-0.10009999999999986
EOG,Energy,2022,1.8554,1.7182,heritage_longevity,operational_excellence,50,416,37117,True,0.13429999999999986
EOG,Energy,2023,1.0267,1.8068,heritage_longevity,operational_excellence,56,467,39755,True,-0.8287
EOG,Energy,2024,1.0927,1.7181,heritage_longevity,operational_excellence,58,487,39137,True,0.06600000000000006
GOOGL,Technology,2016,0.9874,3.9389,human_progress_wellbeing,people_talent,217,1346,47968,False,
GOOGL,Technology,2017,0.9785,4.4852,heritage_longevity,people_talent,21,143,47315,True,-0.008900000000000019
GOOGL,Technology,2018,0.5354,3.1773,community_social_good,customer_client_focus,155,1047,46759,False,-0.44310000000000005
GOOGL,Technology,2019,0.9783,3.8235,heritage_longevity,people_talent,67,415,52586,True,0.44289999999999996
GOOGL,Technology,2020,0.9818,4.1346,heritage_longevity,people_talent,55,414,49496,True,0.0035000000000000586
GOOGL,Technology,2021,0.5141,4.4386,diversity_inclusion,people_talent,63,419,50256,True,-0.4677
GOOGL,Technology,2022,4.3943,3.3333,heritage_longevity,integrity_responsibility,95,654,75618,True,3.8802000000000003
GOOGL,Technology,2023,1.4286,4.2827,safety,integrity_responsibility,62,422,67816,True,-2.9657
GOOGL,Technology,2024,1.9595,4.2829,safety,integrity_responsibility,76,502,55133,True,0.5308999999999999
GS,Financials,2016,1.1175,1.4581,environmental_stewardship,people_talent,406,2732,45095,False,
GS,Financials,2017,1.0678,1.7075,environmental_stewardship,operational_excellence,406,2732,44336,False,-0.049699999999999855
GS,Financials,2018,0.7541,1.5793,environmental_stewardship,people_talent,385,2595,67908,False,-0.3137000000000001
GS,Financials,2019,0.476,2.8768,heritage_longevity,people_talent,59,412,50099,True,-0.2781
GS,Financials,2020,0.4683,3.4544,heritage_longevity,people_talent,59,412,46216,True,-0.007699999999999985
GS,Financials,2021,0.4653,3.3263,heritage_longevity,people_talent,59,412,73904,True,-0.0030000000000000027
GS,Financials,2022,0.4439,3.805,heritage_longevity,operational_excellence,59,412,57480,True,-0.021399999999999975
GS,Financials,2023,0.4735,4.0236,heritage_longevity,operational_excellence,59,412,67871,True,0.02959999999999996
GS,Financials,2024,0.4619,3.8225,heritage_longevity,operational_excellence,59,412,66734,True,-0.0116
HAL,Energy,2016,0.1923,2.8029,customer_client_focus,operational_excellence,226,1843,34394,False,
HAL,Energy,2017,0.5995,2.1681,customer_client_focus,operational_excellence,229,1935,48615,False,0.4072
HAL,Energy,2018,0.5764,2.2316,customer_client_focus,operational_excellence,231,1921,29190,False,-0.02310000000000001
HAL,Energy,2019,2.0754,1.6848,environmental_stewardship,operational_excellence,90,653,40677,True,1.499
HAL,Energy,2020,2.0759,1.7246,environmental_stewardship,operational_excellence,91,649,40532,True,0.0004999999999997229
HAL,Energy,2021,1.8147,0.6787,customer_client_focus,operational_excellence,428,2840,47942,False,-0.2611999999999999
HAL,Energy,2022,2.4265,0.7143,customer_client_focus,operational_excellence,348,2308,30640,False,0.6117999999999999
