ticker,sector,n_years,n_low_evidence_excluded,first_year,last_year,first_level,last_level,slope_per_year,trajectory
EOG,Energy,2,7,2016.0,2017.0,0.4435,2.5066,2.0631,widening
SBUX,Consumer Discretionary,8,0,2017.0,2024.0,0.6521,2.45,0.3348,widening
COP,Energy,5,3,2020.0,2024.0,2.7292,3.4356,0.2286,widening
HAL,Energy,7,2,2016.0,2024.0,0.1923,1.6192,0.2108,widening
BLK,Financials,9,0,2016.0,2024.0,0.1701,1.0863,0.1415,widening
CVX,Energy,9,0,2016.0,2024.0,0.578,1.2884,0.1386,widening
JPM,Financials,5,0,2020.0,2024.0,1.0442,1.5101,0.1219,widening
BAC,Financials,4,0,2021.0,2024.0,0.436,0.5778,0.1018,widening
TJX,Consumer Discretionary,8,0,2016.0,2023.0,0.7737,1.7468,0.0845,widening
XOM,Energy,7,0,2016.0,2023.0,1.9473,2.0139,0.0545,widening
SCHW,Financials,2,0,2016.0,2017.0,0.8502,0.8808,0.0306,widening
JNJ,Healthcare,6,1,2016.0,2024.0,0.8861,1.6319,0.0151,flat
CRM,Technology,8,1,2016.0,2023.0,1.086,0.7032,0.0066,flat
HD,Consumer Discretionary,7,0,2016.0,2022.0,0.4247,0.4776,0.0036,flat
MSFT,Technology,9,0,2016.0,2024.0,0.865,1.0748,-0.0009,flat
LLY,Healthcare,5,1,2016.0,2020.0,1.3562,1.8725,-0.001,flat
ABT,Healthcare,9,0,2016.0,2024.0,1.8092,2.4497,-0.0137,flat
C,Financials,7,0,2016.0,2024.0,0.4264,0.0795,-0.0228,flat
LOW,Consumer Discretionary,5,0,2020.0,2024.0,0.7786,0.4415,-0.0475,closing
NKE,Consumer Discretionary,5,2,2018.0,2022.0,2.0606,1.8819,-0.064,closing
ABBV,Healthcare,3,5,2017.0,2023.0,1.9637,1.4251,-0.088,closing
SLB,Energy,5,1,2019.0,2024.0,1.3502,0.7971,-0.0951,closing
MCD,Consumer Discretionary,9,0,2016.0,2024.0,1.3845,0.6592,-0.1025,closing
IBM,Technology,6,0,2019.0,2024.0,1.2498,0.6442,-0.1027,closing
OXY,Energy,4,0,2021.0,2024.0,0.9897,0.7372,-0.1049,closing
UNH,Healthcare,6,0,2017.0,2022.0,0.8949,0.4453,-0.1138,closing
AMZN,Consumer Discretionary,3,2,2018.0,2020.0,0.7577,0.518,-0.1199,closing
WFC,Financials,9,0,2016.0,2024.0,1.7986,0.7762,-0.1203,closing
MS,Financials,4,5,2016.0,2019.0,2.9089,2.4922,-0.1263,closing
PFE,Healthcare,9,0,2016.0,2024.0,0.9428,0.6185,-0.1277,closing
MDT,Healthcare,9,0,2016.0,2024.0,1.4934,0.6307,-0.1301,closing
PSX,Energy,6,1,2017.0,2022.0,2.3194,1.6157,-0.1379,closing
MRK,Healthcare,8,1,2017.0,2024.0,1.6843,0.9428,-0.1664,closing
GS,Financials,3,6,2016.0,2018.0,1.1175,0.7541,-0.1817,closing
VLO,Energy,5,0,2020.0,2024.0,1.3809,0.6941,-0.1854,closing
GOOGL,Technology,2,7,2016.0,2018.0,0.9874,0.5354,-0.226,closing
MPC,Energy,6,0,2019.0,2024.0,3.2144,2.004,-0.2447,closing
BMY,Healthcare,9,0,2016.0,2024.0,2.6827,1.3109,-0.2621,closing
TSLA,Consumer Discretionary,9,0,2016.0,2024.0,3.0862,1.0236,-0.2796,closing
AVGO,Technology,0,1,,,,,,insufficient_data
META,Technology,0,3,,,,,,insufficient_data
NVDA,Technology,1,2,2022.0,2022.0,1.1241,1.1241,,insufficient_data
TGT,Consumer Discretionary,0,1,,,,,,insufficient_data
TMO,Healthcare,0,6,,,,,,insufficient_data
