sector,ticker,over_nonexpected,over_expected,gap
Consumer Discretionary,AMZN,0.058,0.0625,0.0045
Consumer Discretionary,HD,0.0148,0.0993,0.0845
Consumer Discretionary,LOW,0.0012,0.2161,0.2148
Consumer Discretionary,MCD,0.0837,0.1118,0.0281
Consumer Discretionary,NKE,0.1562,0.2201,0.0639
Consumer Discretionary,SBUX,0.0906,0.1342,0.0436
Consumer Discretionary,TJX,0.1308,0.1264,-0.0044
Consumer Discretionary,TSLA,0.2182,0.0671,-0.1511
Energy,COP,0.1516,0.6334,0.4818
Energy,CVX,0.1111,0.0345,-0.0766
Energy,EOG,0.1229,0.1639,0.041
Energy,HAL,0.1138,0.1077,-0.006
Energy,MPC,0.2618,0.1358,-0.1259
Energy,OXY,0.0578,0.1058,0.0481
Energy,PSX,0.1655,0.3905,0.225
Energy,SLB,0.0434,0.1724,0.129
Energy,VLO,0.1207,0.0568,-0.064
Energy,XOM,0.0671,0.3688,0.3017
Financials,BAC,0.0503,0.0819,0.0316
Financials,BLK,0.0773,0.0195,-0.0578
Financials,C,0.0248,0.0358,0.011
Financials,GS,0.098,0.0,-0.098
Financials,JPM,0.12,0.0,-0.12
Financials,MS,0.2668,0.0,-0.2668
Financials,SCHW,0.0865,0.0,-0.0865
Financials,WFC,0.1254,0.0,-0.1254
Healthcare,ABBV,0.0459,0.2737,0.2278
Healthcare,ABT,0.1094,0.2275,0.1182
Healthcare,BMY,0.1265,0.209,0.0825
Healthcare,JNJ,0.0712,0.1746,0.1034
Healthcare,LLY,0.2102,0.195,-0.0152
Healthcare,MDT,0.0287,0.2491,0.2204
Healthcare,MRK,0.0369,0.1541,0.1172
Healthcare,PFE,0.0517,0.1066,0.0549
Healthcare,UNH,0.0006,0.148,0.1474
Technology,CRM,0.0391,0.3086,0.2695
Technology,GOOGL,0.0285,0.1778,0.1493
Technology,IBM,0.0118,0.2381,0.2264
Technology,MSFT,0.0631,0.227,0.1638
Technology,NVDA,0.0362,0.2783,0.2421
